,nombre,enlace,estado,tipo_de_representacion,representacion
321,Romo Romo Guadalupe,curricula.php?dipt=108,Jalisco,Distrito,3
322,Rosas Quintanilla José Salvador,curricula.php?dipt=260,Tamaulipas,Distrito,1
323,Ruffo Appel Ernesto Guillermo,curricula.php?dipt=302,Baja California,Circunscripcion,1
324,Salazar Báez Josefina,curricula.php?dipt=237,San Luis Potosí,Distrito,5
325,Salinas Wolberg Hernán,curricula.php?dipt=187,Nuevo León,Distrito,1
326,Sandoval Mendoza María Liduvina,curricula.php?dipt=464,Colima,Circunscripcion,5
327,Sobrado Rodríguez Verónica María,curricula.php?dipt=424,Puebla,Circunscripcion,4
328,Tejeda Cid Armando,curricula.php?dipt=170,Michoacán,Distrito,4
329,Terrazas Baca Patricia,curricula.php?dipt=301,Chihuahua,Circunscripcion,1
330,Torres Graciano Fernando,curricula.php?dipt=351,Guanajuato,Circunscripcion,2
331,Torres Peimbert María Marcela,curricula.php?dipt=342,Querétaro,Circunscripcion,2
332,Torres Ramírez Adolfo,curricula.php?dipt=465,Michoacán,Circunscripcion,5
333,Trejo Reyes José Isabel,curricula.php?dipt=343,Zacatecas,Circunscripcion,2
334,Valenzuela González Carlos Alberto,curricula.php?dipt=382,Veracruz,Circunscripcion,3
335,Verastegui Ostos Vicente Javier,curricula.php?dipt=265,Tamaulipas,Distrito,6
336,Villarreal García Ricardo,curricula.php?dipt=76,Guanajuato,Distrito,2
337,Acosta Peña Brasil Alberto,curricula.php?dipt=476,México,Circunscripcion,5
338,Aguilar Castillo Ricardo,curricula.php?dipt=126,México,Distrito,1
339,Alemán Muñoz Castillo María,curricula.php?dipt=364,Querétaro,Circunscripcion,2
340,Alonzo Morales María Ester,curricula.php?dipt=293,Yucatán,Distrito,2
341,Álvarez García Ivonne Liliana,curricula.php?dipt=359,Nuevo León,Circunscripcion,2
342,Angulo Briceño Pablo Guillermo,curricula.php?dipt=395,Campeche,Circunscripcion,3
343,Azuara Yarzábal Frinné,curricula.php?dipt=362,San Luis Potosí,Circunscripcion,2
344,Barrera Fortoul Laura,curricula.php?dipt=479,México,Circunscripcion,5
345,Campos Córdova Lenin Nelson,curricula.php?dipt=365,San Luis Potosí,Circunscripcion,2
346,Canul Pérez Juan José,curricula.php?dipt=296,Yucatán,Distrito,5
347,Córdova Morán Luis Eleusis Leónidas,curricula.php?dipt=439,Puebla,Circunscripcion,4
348,De las Fuentes Hernández Fernando Donato,curricula.php?dipt=46,Coahuila,Distrito,7
349,Espinoza Eguia Juan Francisco,curricula.php?dipt=195,Nuevo León,Distrito,9
350,Flores Sánchez Margarita,curricula.php?dipt=323,Nayarit,Circunscripcion,1
351,Galindo Favela Fernando,curricula.php?dipt=435,Ciudad de México,Circunscripcion,4
352,Garay Cadena Martha Hortencia,curricula.php?dipt=43,Coahuila,Distrito,4
353,González Cuevas Isaías,curricula.php?dipt=320,Baja California Sur,Circunscripcion,1
354,Guel Saldívar Norma Adela,curricula.php?dipt=366,Aguascalientes,Circunscripcion,2
355,Hernández Deras Ismael Alfredo,curricula.php?dipt=322,Durango,Circunscripcion,1
356,Herrera Anzaldo Ana Lilia,curricula.php?dipt=473,México,Circunscripcion,5
357,Ingram Vallines Anilú,curricula.php?dipt=396,Veracruz,Circunscripcion,3
358,Juárez Cisneros Rene,curricula.php?dipt=437,Guerrero,Circunscripcion,4
359,Limón Hernández Manuel,curricula.php?dipt=397,Veracruz,Circunscripcion,3
360,López Castro Cynthia Iliana,curricula.php?dipt=436,Ciudad de México,Circunscripcion,4
361,Martínez Zaleta Edmundo,curricula.php?dipt=893,Veracruz,Circunscripcion,3
362,Medina Herrera Benito,curricula.php?dipt=316,Baja California,Circunscripcion,1
363,Miranda Nava Luis Enrique,curricula.php?dipt=474,México,Circunscripcion,5
364,Moreira Valdez Rubén Ignacio,curricula.php?dipt=361,Coahuila,Circunscripcion,2
365,Nemer Alvarez Ernesto Javier,curricula.php?dipt=478,México,Circunscripcion,5
366,Noroña Quezada Hortensia María Luisa,curricula.php?dipt=321,Jalisco,Circunscripcion,1
367,Ochoa Reza Enrique,curricula.php?dipt=472,Michoacán,Circunscripcion,5
368,Ortiz Guarneros Juan,curricula.php?dipt=391,Veracruz,Circunscripcion,3
369,Pastor Badilla Claudia,curricula.php?dipt=438,Ciudad de México,Circunscripcion,4
370,Pavón Campos Carlos,curricula.php?dipt=363,Zacatecas,Circunscripcion,2
371,Pérez Munguía Soraya,curricula.php?dipt=394,Tabasco,Circunscripcion,3
372,Puente De La Mora Ximena,curricula.php?dipt=477,Colima,Circunscripcion,5
373,Roa Sánchez Cruz Juvenal,curricula.php?dipt=161,México,Distrito,36
374,Rocha Medina Ma. Sara,curricula.php?dipt=233,San Luis Potosí,Distrito,1
375,Rodríguez Mier Y Terán Mariana,curricula.php?dipt=360,Tamaulipas,Circunscripcion,2
376,Saldaña Pérez María Lucero,curricula.php?dipt=434,Puebla,Circunscripcion,4
377,Sánchez Martínez Lourdes Erika,curricula.php?dipt=317,Sinaloa,Circunscripcion,1
378,Sauri Riancho Dulce María,curricula.php?dipt=392,Yucatán,Circunscripcion,3
379,Terán Villalobos Irma María,curricula.php?dipt=319,Sonora,Circunscripcion,1
380,Treviño Villarreal Pedro Pablo,curricula.php?dipt=358,Nuevo León,Circunscripcion,2
381,Velasco González Marcela Guillermina,curricula.php?dipt=475,México,Circunscripcion,5
382,Villegas Arreola Alfredo,curricula.php?dipt=318,Sinaloa,Circunscripcion,1
383,Zarzosa Sánchez Eduardo,curricula.php?dipt=134,México,Distrito,9
384,Acundo González Miguel,curricula.php?dipt=209,Puebla,Distrito,1
385,Argüelles Victorero Jorge Arturo,curricula.php?dipt=182,Morelos,Distrito,4
386,Báez Ruiz Claudia,curricula.php?dipt=211,Puebla,Distrito,3
387,Baldenebro Arredondo Manuel de Jesus,curricula.php?dipt=247,Sonora,Distrito,1
388,Buenfil Díaz Irasema del Carmen,curricula.php?dipt=15,Campeche,Distrito,2
389,Cabrera Lagunas Ma. del Carmen,curricula.php?dipt=92,Guerrero,Distrito,3
390,Castañeda Pomposo Javier Julián,curricula.php?dipt=9,Baja California,Distrito,6
391,Cruz Aparicio Héctor René,curricula.php?dipt=11,Baja California,Distrito,8
392,De la Peña Marshall Ricardo,curricula.php?dipt=259,Tabasco,Distrito,6
393,Elizondo Guerra Olga Juliana,curricula.php?dipt=261,Tamaulipas,Distrito,2
394,García Aguilar Carolina,curricula.php?dipt=131,México,Distrito,6
395,García Duque José Luis,curricula.php?dipt=189,Nuevo León,Distrito,3
396,Garza Gutiérrez Laura Erika de Jesús,curricula.php?dipt=193,Nuevo León,Distrito,7
397,González Escoto Armando,curricula.php?dipt=17,Ciudad de México,Distrito,2
398,Lozano Rodríguez Adriana,curricula.php?dipt=263,Tamaulipas,Distrito,4
399,Morales Flores Eudoxio,curricula.php?dipt=720,Puebla,Distrito,12
400,Moreno Medina Esmeralda de los Angeles,curricula.php?dipt=151,México,Distrito,26
401,Pérez Hernández José Ángel,curricula.php?dipt=45,Coahuila,Distrito,6
402,Pérez Negrón Ruiz Iván Arturo,curricula.php?dipt=176,Michoacán,Distrito,10
403,Reséndiz Hernández Nancy Claudia,curricula.php?dipt=166,México,Distrito,41
404,Rosete  María,curricula.php?dipt=23,Ciudad de México,Distrito,8
405,Saldivar Camacho Francisco Javier,curricula.php?dipt=32,Ciudad de México,Distrito,17
406,Salvatori Bojalil Nayeli,curricula.php?dipt=218,Puebla,Distrito,10
407,Sosa Ruíz Olga Patricia,curricula.php?dipt=267,Tamaulipas,Distrito,8
408,Sosa Salinas José de la Luz,curricula.php?dipt=269,Tlaxcala,Distrito,1
409,Teissier Zavala Adriana Paulina,curricula.php?dipt=229,Quintana Roo,Distrito,1
410,Torres Díaz Elba Lorena,curricula.php?dipt=2,Aguascalientes,Distrito,2
411,Vargas Contreras Ernesto,curricula.php?dipt=194,Nuevo León,Distrito,8
412,Villegas González Héctor Joel,curricula.php?dipt=262,Tamaulipas,Distrito,3
413,Bernal Camarena Ana Laura,curricula.php?dipt=748,Sonora,Distrito,2
414,Bernal Martínez Mary Carmen,curricula.php?dipt=169,Michoacán,Distrito,3
415,Dekker Gómez Clementina Marta,curricula.php?dipt=53,Chiapas,Distrito,5
416,Domínguez Vázquez Claudia Angélica,curricula.php?dipt=139,México,Distrito,14
417,Favela Peñuñuri Francisco,curricula.php?dipt=130,México,Distrito,5
418,Femat Bañuelos Alfredo,curricula.php?dipt=299,Zacatecas,Distrito,3
419,Fernández Noroña Gerardo,curricula.php?dipt=19,Ciudad de México,Distrito,4
420,Garay Ulloa Silvano,curricula.php?dipt=460,Tlaxcala,Circunscripcion,4
421,García García Margarita,curricula.php?dipt=201,Oaxaca,Distrito,3
422,García Grande Ana Ruth,curricula.php?dipt=12,Baja California Sur,Distrito,1
423,González Morales Hildelisa,curricula.php?dipt=253,Sonora,Distrito,7
424,González Soto Santiago,curricula.php?dipt=191,Nuevo León,Distrito,5
425,González Yáñez Óscar,curricula.php?dipt=152,México,Distrito,27
426,Huacus Esquivel Francisco Javier,curricula.php?dipt=178,Michoacán,Distrito,12
427,Huerta Hernández Martha,curricula.php?dipt=713,Puebla,Distrito,5
428,Jiménez Pérez María Roselia,curricula.php?dipt=56,Chiapas,Distrito,8
429,Lastra Muñoz Claudia Elena,curricula.php?dipt=64,Chihuahua,Distrito,3
430,Manzanilla Téllez Emilio,curricula.php?dipt=141,México,Distrito,16
431,Martínez Ruiz Maribel,curricula.php?dipt=420,Oaxaca,Circunscripcion,3
432,Marú Mejía María Teresa,curricula.php?dipt=128,México,Distrito,3
433,Montalvo Luna José Luis,curricula.php?dipt=164,México,Distrito,39
434,Porras Domínguez Alfredo,curricula.php?dipt=13,Baja California Sur,Distrito,2
435,Reyes Ledesma Armando,curricula.php?dipt=6,Baja California,Distrito,3
436,Roblero Gordillo Maricruz,curricula.php?dipt=61,Chiapas,Distrito,13
437,Robles Montoya Benjamín,curricula.php?dipt=206,Oaxaca,Distrito,8
438,Rojo Pimentel Ana Karina,curricula.php?dipt=35,Ciudad de México,Distrito,20
439,Sandoval Flores Reginaldo,curricula.php?dipt=500,Michoacán,Circunscripcion,5
440,Vázquez García Dionicia,curricula.php?dipt=127,México,Distrito,2
441,Bravo Padilla Itzcóatl Tonatiuh,curricula.php?dipt=311,Jalisco,Circunscripcion,1
442,Cheja Alfaro Jacobo David,curricula.php?dipt=470,México,Circunscripcion,5
443,Contreras González Lourdes Celenia,curricula.php?dipt=118,Jalisco,Distrito,13
444,Del Toro Pérez Higinio,curricula.php?dipt=624,Jalisco,Distrito,19
445,Espinoza Cárdenas Juan Martín,curricula.php?dipt=122,Jalisco,Distrito,17
446,Falomir Saenz Alan Jesús,curricula.php?dipt=69,Chihuahua,Distrito,8
447,García Lara Jorge Alcibíades,curricula.php?dipt=313,Baja California,Circunscripcion,1
448,Gómez Maldonado Maiella Martha Gabriela,curricula.php?dipt=210,Puebla,Distrito,2
449,González Anaya María Libier,curricula.php?dipt=314,Jalisco,Circunscripcion,1
450,González García Ana Priscila,curricula.php?dipt=125,Jalisco,Distrito,20
451,Herrera Vega Geraldina Isabel,curricula.php?dipt=115,Jalisco,Distrito,10
452,Ku Escalante Kehila Abigail,curricula.php?dipt=116,Jalisco,Distrito,11
453,Loya Hernández Fabiola Raquel Guadalupe,curricula.php?dipt=111,Jalisco,Distrito,6
454,Lozano Mac Donald Pilar,curricula.php?dipt=356,Nuevo León,Circunscripcion,2
455,Macías Rábago Julieta,curricula.php?dipt=429,Ciudad de México,Circunscripcion,4
456,Medina Ortíz Adriana Gabriela,curricula.php?dipt=117,Jalisco,Distrito,12
457,Méndez De La Luz Dauzón Dulce María,curricula.php?dipt=390,Veracruz,Circunscripcion,3
458,Prudencio González Carmen Julia,curricula.php?dipt=114,Jalisco,Distrito,9
459,Ramírez Salcido Juan Francisco,curricula.php?dipt=119,Jalisco,Distrito,14
460,Ramos Tamez Mario Alberto,curricula.php?dipt=264,Tamaulipas,Distrito,5
461,Rodríguez Carrillo Mario Alberto,curricula.php?dipt=109,Jalisco,Distrito,4
462,Rodríguez Vázquez Ariel,curricula.php?dipt=75,Guanajuato,Distrito,1
463,Ron Ramos Eduardo,curricula.php?dipt=106,Jalisco,Distrito,1
464,Russo Salido Jorge Eugenio,curricula.php?dipt=315,Sonora,Circunscripcion,1
465,Salinas Reyes Ruth,curricula.php?dipt=471,México,Circunscripcion,5
466,Tagle Martínez Martha,curricula.php?dipt=432,Ciudad de México,Circunscripcion,4
467,Villarreal Salazar Juan Carlos,curricula.php?dipt=112,Jalisco,Distrito,7
468,Zamudio Macias Martha Angélica,curricula.php?dipt=312,Jalisco,Circunscripcion,1
469,Aguilera Rojas José Guadalupe,curricula.php?dipt=177,Michoacán,Distrito,11
470,Alcalá Padilla Abril,curricula.php?dipt=113,Jalisco,Distrito,8
471,Almaguer Pardo Ma. Guadalupe,curricula.php?dipt=238,San Luis Potosí,Distrito,6
472,Almeida López Mónica,curricula.php?dipt=123,Jalisco,Distrito,18
473,Bautista Rodríguez Mónica,curricula.php?dipt=468,México,Circunscripcion,5
474,Esparza Márquez Frida Alejandra,curricula.php?dipt=354,Zacatecas,Circunscripcion,2
475,García Gutiérrez Raymundo,curricula.php?dipt=95,Guerrero,Distrito,6
476,Juárez Piña Verónica Beatriz,curricula.php?dipt=310,Jalisco,Circunscripcion,1
477,Ortega Martínez Antonio,curricula.php?dipt=355,Aguascalientes,Circunscripcion,2
478,Reyes Montiel Claudia,curricula.php?dipt=143,México,Distrito,18
479,Rodríguez Zamora Norma Azucena,curricula.php?dipt=388,Veracruz,Circunscripcion,3
480,Alcántara Núñez Jesús Sergio,curricula.php?dipt=482,México,Circunscripcion,5
481,Bautista Villegas Oscar,curricula.php?dipt=235,San Luis Potosí,Distrito,3
482,Bugarín Cortés Lyndiana Elizabeth,curricula.php?dipt=298,Zacatecas,Distrito,2
483,Corona Méndez Jorge Francisco,curricula.php?dipt=898,Quintana Roo,Circunscripcion,3
484,Escobar y Vega Arturo,curricula.php?dipt=440,Ciudad de México,Circunscripcion,4
485,Gómez Alcantar Marco Antonio,curricula.php?dipt=325,Sinaloa,Circunscripcion,1
486,Gómez Ordaz Leticia Mariana,curricula.php?dipt=481,México,Circunscripcion,5
487,Manrique Guevara Beatriz  (LICENCIA),curricula.php?dipt=368,Guanajuato,Circunscripcion,2
488,Puente Salas Carlos Alberto,curricula.php?dipt=367,Zacatecas,Circunscripcion,2
489,Rubio Montejo Roberto Antonio,curricula.php?dipt=59,Chiapas,Distrito,11
490,Vidal Peniche Jesús Carlos,curricula.php?dipt=292,Yucatán,Distrito,1
491,Gallardo Cardona José Ricardo,curricula.php?dipt=234,San Luis Potosí,Distrito,2
492,Morales Vázquez Carlos Alberto,curricula.php?dipt=384,Chiapas,Circunscripcion,3
493,Reyes Carmona Emmanuel,curricula.php?dipt=87,Guanajuato,Distrito,13
494,Riojas Martínez Ana Lucia,curricula.php?dipt=426,Ciudad de México,Circunscripcion,4
495,Serrano Cortes Héctor,curricula.php?dipt=428,Ciudad de México,Circunscripcion,4
496,Toledo Gutiérrez Mauricio Alonso,curricula.php?dipt=430,Ciudad de México,Circunscripcion,4
497,Torres Piña Carlos,curricula.php?dipt=467,Michoacán,Circunscripcion,5
498,Villafuerte Zavala Lilia,curricula.php?dipt=84,Guanajuato,Distrito,10
